"date","close","high","low","open"
"2021-01-25T18:15:00.000Z",277.55,277.575,277.46,277.46
"2021-01-25T18:16:00.000Z",277.34,277.56,277.26,277.56
"2021-01-25T18:17:00.000Z",277.45,277.45,277.05,277.13
"2021-01-25T18:18:00.000Z",277.53,277.53,277.415,277.49
"2021-01-25T18:19:00.000Z",277.35,277.395,277.35,277.395
"2021-01-25T18:20:00.000Z",277.3,277.325,277.3,277.3
"2021-01-25T18:21:00.000Z",277.27,277.37,277.24,277.32
"2021-01-25T18:22:00.000Z",277.525,277.555,277.475,277.5
"2021-01-25T18:23:00.000Z",277.43,277.51,277.34,277.485
"2021-01-25T18:24:00.000Z",277.16,277.31,277.06,277.28
"2021-01-25T18:25:00.000Z",277.13,277.25,277.07,277.08
"2021-01-25T18:26:00.000Z",277.03,277.12,276.965,277.085
"2021-01-25T18:27:00.000Z",276.975,276.975,276.85,276.85
"2021-01-25T18:28:00.000Z",276.88,276.97,276.855,276.97
"2021-01-25T18:29:00.000Z",276.93,276.955,276.865,276.87
"2021-01-25T18:30:00.000Z",276.94,276.99,276.94,276.99
"2021-01-25T18:31:00.000Z",277.04,277.105,276.9,276.9
"2021-01-25T18:32:00.000Z",277.105,277.105,276.98,276.99
"2021-01-25T18:33:00.000Z",276.975,277.09,276.925,277.065
"2021-01-25T18:34:00.000Z",276.975,276.975,276.905,276.94
"2021-01-25T18:35:00.000Z",276.91,276.91,276.865,276.87
"2021-01-25T18:36:00.000Z",276.96,276.96,276.88,276.88
"2021-01-25T18:37:00.000Z",277.04,277.13,276.9,276.935
"2021-01-25T18:38:00.000Z",277.07,277.12,277,277
"2021-01-25T18:39:00.000Z",277.09,277.14,277.05,277.07
"2021-01-25T18:40:00.000Z",277.225,277.23,277.09,277.23
"2021-01-25T18:41:00.000Z",277.07,277.265,277.07,277.265
"2021-01-25T18:42:00.000Z",276.96,277,276.88,277
"2021-01-25T18:43:00.000Z",277.095,277.12,276.945,276.96
"2021-01-25T18:44:00.000Z",277.095,277.115,277,277.09
"2021-01-25T18:45:00.000Z",277.22,277.27,277.18,277.21
"2021-01-25T18:46:00.000Z",277.21,277.31,277.2,277.2
"2021-01-25T18:47:00.000Z",277.125,277.125,276.97,277.08
"2021-01-25T18:48:00.000Z",277.08,277.2,277.07,277.2
"2021-01-25T18:49:00.000Z",276.86,276.955,276.825,276.95
"2021-01-25T18:50:00.000Z",276.9,277.07,276.9,276.945
"2021-01-25T18:51:00.000Z",277.035,277.06,276.92,276.92
"2021-01-25T18:52:00.000Z",276.87,277.12,276.83,276.93
"2021-01-25T18:53:00.000Z",276.82,276.86,276.82,276.85
"2021-01-25T18:54:00.000Z",276.38,276.55,276.315,276.55
"2021-01-25T18:55:00.000Z",276.31,276.39,276.31,276.38
"2021-01-25T18:56:00.000Z",276.73,276.83,276.61,276.61
"2021-01-25T18:57:00.000Z",276.85,276.915,276.75,276.75
"2021-01-25T18:58:00.000Z",276.89,276.9,276.835,276.835
"2021-01-25T18:59:00.000Z",276.86,276.885,276.8,276.82
"2021-01-25T19:00:00.000Z",276.56,276.82,276.56,276.82
"2021-01-25T19:01:00.000Z",276.5,276.63,276.49,276.53
"2021-01-25T19:02:00.000Z",276.83,276.83,276.51,276.56
"2021-01-25T19:03:00.000Z",276.87,276.87,276.825,276.825
"2021-01-25T19:04:00.000Z",276.915,276.915,276.78,276.81
"2021-01-25T19:05:00.000Z",276.77,276.97,276.77,276.97
"2021-01-25T19:06:00.000Z",276.81,276.84,276.74,276.79
"2021-01-25T19:07:00.000Z",276.73,276.8,276.73,276.73
"2021-01-25T19:08:00.000Z",276.98,276.98,276.795,276.86
"2021-01-25T19:09:00.000Z",276.79,277.06,276.79,277.02
"2021-01-25T19:10:00.000Z",276.365,276.66,276.365,276.66
"2021-01-25T19:11:00.000Z",276.565,276.565,276.18,276.19
"2021-01-25T19:12:00.000Z",276.725,276.75,276.47,276.5
"2021-01-25T19:13:00.000Z",276.66,276.74,276.595,276.71
"2021-01-25T19:14:00.000Z",276.65,276.78,276.565,276.78
"2021-01-25T19:15:00.000Z",276.625,276.74,276.565,276.62
"2021-01-25T19:16:00.000Z",276.66,276.7,276.55,276.58
"2021-01-25T19:17:00.000Z",276.56,276.73,276.47,276.47
"2021-01-25T19:18:00.000Z",276.495,276.5,276.27,276.29
"2021-01-25T19:19:00.000Z",276.72,276.72,276.6,276.6
"2021-01-25T19:20:00.000Z",276.61,276.79,276.6,276.79
"2021-01-25T19:21:00.000Z",276.76,276.775,276.545,276.61
"2021-01-25T19:22:00.000Z",276.68,276.815,276.66,276.74
"2021-01-25T19:23:00.000Z",276.755,276.76,276.645,276.69
"2021-01-25T19:24:00.000Z",276.76,276.76,276.68,276.68
"2021-01-25T19:25:00.000Z",276.835,276.84,276.83,276.83
"2021-01-25T19:26:00.000Z",276.835,276.87,276.79,276.825
"2021-01-25T19:27:00.000Z",276.715,276.83,276.61,276.83
"2021-01-25T19:28:00.000Z",276.645,276.75,276.645,276.7
"2021-01-25T19:29:00.000Z",276.865,276.9,276.65,276.66
"2021-01-25T19:30:00.000Z",276.85,276.89,276.79,276.89
"2021-01-25T19:31:00.000Z",276.98,277.02,276.875,276.92
"2021-01-25T19:32:00.000Z",276.89,277.005,276.89,277
"2021-01-25T19:33:00.000Z",277.14,277.15,276.91,276.91
"2021-01-25T19:34:00.000Z",277.065,277.14,277.02,277.14
"2021-01-25T19:35:00.000Z",276.9,277.06,276.865,276.97
"2021-01-25T19:36:00.000Z",276.89,277.03,276.835,277.03
"2021-01-25T19:37:00.000Z",276.88,276.93,276.86,276.93
"2021-01-25T19:38:00.000Z",277.25,277.29,276.93,276.93
"2021-01-25T19:39:00.000Z",277.375,277.455,277.26,277.26
"2021-01-25T19:40:00.000Z",277.21,277.36,277.21,277.28
"2021-01-25T19:41:00.000Z",277.45,277.45,277.3,277.3
"2021-01-25T19:42:00.000Z",277.23,277.4,277.18,277.4
"2021-01-25T19:43:00.000Z",277.385,277.4,277.21,277.25
"2021-01-25T19:44:00.000Z",277.58,277.66,277.21,277.21
"2021-01-25T19:45:00.000Z",277.41,277.5,277.27,277.5
"2021-01-25T19:46:00.000Z",277.32,277.39,277.32,277.39
"2021-01-25T19:47:00.000Z",277.225,277.35,277.19,277.33
"2021-01-25T19:48:00.000Z",277.12,277.32,277.12,277.2
"2021-01-25T19:49:00.000Z",277.275,277.32,277.27,277.32
"2021-01-25T19:50:00.000Z",277.21,277.345,277.19,277.32
"2021-01-25T19:51:00.000Z",277.31,277.33,277.27,277.27
"2021-01-25T19:52:00.000Z",277.26,277.41,277.25,277.25
"2021-01-25T19:53:00.000Z",277.61,277.63,277.37,277.37
"2021-01-25T19:54:00.000Z",277.26,277.55,277.26,277.55
"2021-01-25T19:55:00.000Z",277.46,277.495,277.46,277.495
"2021-01-25T19:56:00.000Z",277.48,277.48,277.45,277.46
"2021-01-25T19:57:00.000Z",277.455,277.53,277.445,277.49
"2021-01-25T19:58:00.000Z",277.5,277.5,277.46,277.46
"2021-01-25T19:59:00.000Z",277.44,277.56,277.44,277.45
"2021-01-25T20:00:00.000Z",277.38,277.42,277.38,277.39
"2021-01-25T20:01:00.000Z",277.17,277.36,277.17,277.31
"2021-01-25T20:02:00.000Z",277.195,277.205,277.1,277.16
"2021-01-25T20:03:00.000Z",277.005,277.15,276.99,277.15
"2021-01-25T20:04:00.000Z",276.985,277.08,276.93,277.01
"2021-01-25T20:05:00.000Z",277.235,277.285,276.92,276.93
"2021-01-25T20:06:00.000Z",277.15,277.19,277.035,277.035
"2021-01-25T20:07:00.000Z",277.14,277.14,277.115,277.115
"2021-01-25T20:08:00.000Z",277.2,277.29,277.03,277.29
"2021-01-25T20:09:00.000Z",277.285,277.29,277.21,277.21
